Codebase,Feature,Cluster,CLIP,CRIP,CROP,CWOP,CIP,CDDIP,COP,CPIF,CIOF,SCCP,FCCP,Orchestrator
ldod-static,AdminController.loadTEIFragmentsAtOnce,2,1.000000,0.000000,0.000000,1.000000,0.048780,1.000000,0.015190,3.032270,0.388872,0.060469,0.000000,0
ldod-static,AdminController.loadTEIFragmentsAtOnce,3,0.714286,0.285714,0.407407,0.592593,0.113821,0.857143,0.068354,0.404620,0.749968,0.066030,0.074731,0
ldod-static,AdminController.loadTEIFragmentsAtOnce,4,1.000000,0.000000,0.368421,0.631579,0.065041,1.000000,0.048101,0.574628,0.923572,0.021373,0.021849,1
ldod-static,AdminController.loadTEIFragmentsAtOnce,0,0.558140,0.441860,0.596639,0.403361,0.349593,0.534884,0.602532,0.581995,2.152364,0.467246,0.382204,0
ldod-static,AdminController.loadTEIFragmentsAtOnce,1,0.596154,0.403846,0.533333,0.466667,0.422764,0.557692,0.265823,0.406487,0.785223,0.384883,0.464535,0
ldod-static,RecommendationController.createSectionVirtualEdition,0,0.557692,0.442308,0.614173,0.385827,0.281081,0.634615,0.333333,0.407349,1.289870,0.223349,0.222222,0
ldod-static,RecommendationController.createSectionVirtualEdition,1,0.722892,0.277108,0.448276,0.551724,0.448649,0.590361,0.456693,0.192937,1.107176,0.574724,0.536769,0
ldod-static,RecommendationController.createSectionVirtualEdition,3,0.714286,0.285714,0.407407,0.592593,0.151351,0.857143,0.141732,0.313693,1.018547,0.096337,0.126677,0
ldod-static,RecommendationController.createSectionVirtualEdition,4,1.000000,0.000000,0.250000,0.750000,0.021622,1.000000,0.020997,2.610166,1.056271,0.008366,0.005368,0
ldod-static,RecommendationController.createSectionVirtualEdition,2,0.722222,0.277778,0.277778,0.722222,0.097297,0.833333,0.047244,1.475856,0.528136,0.097224,0.056361,1
ldod-static,AdminController.loadVirtualCorpus,0,0.553191,0.446809,0.561905,0.438095,0.201717,0.659574,0.236486,0.636271,1.260101,0.170366,0.169175,0
ldod-static,AdminController.loadVirtualCorpus,2,0.740741,0.259259,0.259259,0.740741,0.115880,0.851852,0.060811,1.198550,0.564045,0.112928,0.068627,0
ldod-static,AdminController.loadVirtualCorpus,1,0.740385,0.259615,0.401914,0.598086,0.446352,0.644231,0.470721,0.208941,1.133514,0.590537,0.524624,0
ldod-static,AdminController.loadVirtualCorpus,3,0.714286,0.285714,0.407407,0.592593,0.180258,0.833333,0.182432,0.373729,1.087802,0.115070,0.168947,0
ldod-static,AdminController.loadVirtualCorpus,4,1.000000,0.000000,0.318182,0.681818,0.055794,0.692308,0.049550,2.582510,0.954538,0.011098,0.010716,1
ldod-static,AdminController.generateCitations,0,0.295455,0.704545,0.775000,0.225000,0.324723,0.477273,0.310680,0.433212,1.033439,0.260698,0.351039,0
ldod-static,AdminController.generateCitations,4,0.412500,0.587500,0.676829,0.323171,0.295203,0.262500,0.318447,0.506564,1.165203,0.063364,0.139161,0
ldod-static,AdminController.generateCitations,1,0.573333,0.426667,0.513333,0.486667,0.276753,0.480000,0.291262,0.460674,1.136783,0.496544,0.407683,0
ldod-static,AdminController.generateCitations,2,0.857143,0.142857,0.142857,0.857143,0.051661,0.857143,0.027184,3.322662,0.568392,0.114549,0.016464,1
ldod-static,AdminController.generateCitations,3,0.714286,0.285714,0.407407,0.592593,0.051661,0.857143,0.052427,0.276889,1.096184,0.064845,0.048412,0
Acme-Academy-2.0-maven,AssignmentLecturerController.create,1,1.000000,0.000000,0.000000,1.000000,0.200000,0.000000,0.222222,0.000000,1.090909,1.000000,0.000000,1
Acme-Academy-2.0-maven,AssignmentLecturerController.create,3,0.000000,1.000000,1.000000,0.000000,0.400000,0.500000,0.444444,1.500000,1.090909,0.000000,0.555556,0
Acme-Academy-2.0-maven,AssignmentLecturerController.create,2,0.000000,1.000000,1.000000,0.000000,0.400000,0.000000,0.333333,1.500000,0.818182,0.000000,0.222222,0
Acme-Academy-2.0-maven,SyllabusLecturerController.delete,2,0.250000,0.750000,0.875000,0.125000,0.444444,0.000000,0.533333,1.875000,1.333333,1.000000,0.352941,0
Acme-Academy-2.0-maven,SyllabusLecturerController.delete,3,0.000000,1.000000,1.000000,0.000000,0.444444,0.250000,0.400000,1.125000,1.000000,0.000000,0.352941,0
Acme-Academy-2.0-maven,SyllabusLecturerController.delete,0,0.000000,1.000000,1.000000,0.000000,0.111111,0.000000,0.066667,0.000000,0.666667,0.000000,0.235294,1
Acme-Academy-2.0-maven,RubricLecturerController.save,3,0.000000,1.000000,1.000000,0.000000,0.466667,0.285714,0.440000,0.538462,0.929577,0.000000,0.319149,1
Acme-Academy-2.0-maven,RubricLecturerController.save,2,0.000000,1.000000,1.000000,0.000000,0.266667,0.000000,0.240000,1.538462,0.887324,0.000000,0.085106,0
Acme-Academy-2.0-maven,RubricLecturerController.save,1,0.500000,0.500000,0.750000,0.250000,0.266667,0.000000,0.320000,0.923077,1.183099,1.000000,0.553191,0
Acme-Academy-2.0-maven,LearningMaterialLecturerController.delete,4,1.000000,0.000000,0.000000,1.000000,0.200000,0.000000,0.125000,0.000000,0.666667,1.000000,0.000000,0
Acme-Academy-2.0-maven,LearningMaterialLecturerController.delete,3,0.000000,1.000000,1.000000,0.000000,0.400000,0.500000,0.500000,1.500000,1.333333,0.000000,0.625000,1
Acme-Academy-2.0-maven,LearningMaterialLecturerController.delete,2,0.000000,1.000000,1.000000,0.000000,0.400000,0.000000,0.375000,1.500000,1.000000,0.000000,0.250000,0
Acme-Academy-2.0-maven,AssignmentLecturerController.delete,1,1.000000,0.000000,0.000000,1.000000,0.200000,0.000000,0.125000,0.000000,0.666667,1.000000,0.000000,0
Acme-Academy-2.0-maven,AssignmentLecturerController.delete,3,0.000000,1.000000,1.000000,0.000000,0.400000,0.500000,0.500000,1.500000,1.333333,0.000000,0.625000,1
Acme-Academy-2.0-maven,AssignmentLecturerController.delete,2,0.000000,1.000000,1.000000,0.000000,0.400000,0.000000,0.375000,1.500000,1.000000,0.000000,0.250000,0
Acme-Academy-2.0-maven,RubricLecturerController.create,1,0.500000,0.500000,0.500000,0.500000,0.285714,0.000000,0.200000,1.285714,0.720000,1.000000,0.333333,1
Acme-Academy-2.0-maven,RubricLecturerController.create,3,0.000000,1.000000,1.000000,0.000000,0.428571,0.333333,0.500000,0.428571,1.200000,0.000000,0.466667,0
Acme-Academy-2.0-maven,RubricLecturerController.create,2,0.000000,1.000000,1.000000,0.000000,0.285714,0.000000,0.300000,1.285714,1.080000,0.000000,0.133333,0
Acme-Academy-2.0-maven,LearningMaterialLecturerController.save,3,0.000000,1.000000,1.000000,0.000000,0.444444,0.250000,0.533333,1.500000,1.333333,0.000000,0.666667,0
Acme-Academy-2.0-maven,LearningMaterialLecturerController.save,2,0.000000,1.000000,1.000000,0.000000,0.444444,0.000000,0.400000,1.500000,1.000000,0.000000,0.266667,1
Acme-Academy-2.0-maven,LearningMaterialLecturerController.save,4,1.000000,0.000000,0.000000,1.000000,0.111111,0.000000,0.066667,0.000000,0.666667,1.000000,0.000000,0
Acme-Academy-2.0-maven,AssignmentLecturerController.save,3,0.000000,1.000000,1.000000,0.000000,0.444444,0.250000,0.444444,1.500000,0.800000,0.000000,0.370370,0
Acme-Academy-2.0-maven,AssignmentLecturerController.save,2,0.000000,1.000000,1.000000,0.000000,0.444444,0.000000,0.333333,1.500000,0.600000,0.000000,0.148148,0
Acme-Academy-2.0-maven,AssignmentLecturerController.save,1,1.000000,0.000000,0.500000,0.500000,0.111111,0.000000,0.222222,0.000000,1.600000,1.000000,0.407407,1
Acme-AnimalShelter-maven,MedicalReportVeterinaryController.create,3,0.000000,1.000000,1.000000,0.000000,0.400000,0.000000,0.416667,0.545455,1.046512,0.000000,0.683544,0
Acme-AnimalShelter-maven,MedicalReportVeterinaryController.create,2,0.666667,0.333333,0.250000,0.750000,0.300000,0.333333,0.333333,1.636364,1.116279,0.770833,0.139241,1
Acme-AnimalShelter-maven,MedicalReportVeterinaryController.create,7,0.333333,0.666667,0.666667,0.333333,0.300000,0.333333,0.250000,0.818182,0.837209,0.229167,0.126582,0
Acme-AnimalShelter-maven,VoluntaryEmployeeController.untie,4,1.000000,0.000000,0.000000,1.000000,0.166667,1.000000,0.111111,0.000000,0.666667,0.393939,0.000000,1
Acme-AnimalShelter-maven,VoluntaryEmployeeController.untie,3,0.000000,1.000000,1.000000,0.000000,0.333333,0.000000,0.555556,1.500000,1.666667,0.000000,0.818182,0
